name,category,manufacturer,eparegnumber,activeingredient,targetpest,uom,distributorsku
960 Vector Fruit Fly Trap,Other,BASF,N/A,N/A,,C,960 VECTOR FRUIT FLY TRAP
Acephate 90 Prill Insecticide 5 lb.,Insecticide/Pesticide,ADAMA (Makhteshim Agan of North America),66222-123,Acephate 90%,,J,ACEPHATE 90 PRILL INSECTICIDE
Advion Ant Gel Bait (4 x 30 g tubes),Insecticide/Pesticide,Syngenta,100-1498,Indoxacarb 0.05%,ANTS,T,ADVION ANT GEL BAIT
Advion Evolution Cockroach Gel Bait (4 x 30 g tubes),Insecticide/Pesticide,Syngenta,100-1484,Indoxacarb 0.6%,ROACHES,T,ADVION EVOLUTION COCKROACH GEL
Advion Insect Granule 25 lb.,Insecticide/Pesticide,Syngenta,100-1483,Indoxacarb 0.22%,MILLLIPEDE,FB,ADVION INSECT GRANULE 25 LB.
Advion WDG Insecticide (0.33 oz packets),Insecticide/Pesticide,Syngenta,100-1501,Indoxacarb 20.0%,ROACHES,OZ,ADVION WDG INSECTICIDE
Alpine Cockroach Gel Bait Rotation (4 x 30 g),Insecticide/Pesticide,BASF,499-507,Dinotefuran 0.5%,ROACHES,T,ALPINE COCKROACH GEL BAIT ROTA
Alpine WSG Water Soluble Granule Insecticide (10 g),Insecticide/Pesticide,BASF,499-561,Dinotefuran 40%,,G,ALPINE WSG INSECTICIDE (10 GM)
Arborjet Arbor-OTC Injectable Fungicide/Bactericide 5 oz.,Fungicide,Arborjet,74578-7,Oxytetracycline hydrochloride,,B,ARBORJET ARBOR OTC INJECTABLE
Archer IGR Insect Growth Regulator 1 pt.,Insecticide/Pesticide,Syngenta,100-1111,Pyriproxyfen 1.3%,ROACHES,B,ARCHER IGR INSECTICIDE 1 PT.
Artavia 2 SC Fungicide,Fungicide,"Atticus, LLC",91234-74,Azoxystrobin 22.9%,,J,ARTAVIA 2SC FUNGICIDE
Avenue South Broadleaf Herbicide for Turfgrass 2.5 gal,Herbicide,PBI-Gordon,2217-996,"2,4-D 7.28%, Dicamba 2.06%, Penoxsulam 0.70%, Sulfentrazone 0.70%",BROADLEAF,J,AVENUE SOUTH POST EMERGENT LIQ
Bifen XTS Insecticide/Termiticide 1 gal.,Insecticide/Pesticide,"Control Solutions, Inc.",53883-189,Bifenthrin 25.1%,L-LAWN,J,BIFEN XTS INSECTICIDE 1 GAL.
Catchmaster Multi-Catch PB Mouse/Insect Glue Board,Rodent,AP&G (Catchmaster),N/A,N/A,,RT,CATCHMASTER PB GLUE BOARD
CB-80 Dual Spray Action Aerosol Insecticide 17 oz.,Insecticide/Pesticide,FMC Corporation,279-3393,"Pyrethrins 0.5%, Piperonyl Butoxide 4.0%",,AC,CB-80 DUAL SPRAY CAN AEROSOL I
Celsius WG Herbicide (Water Dispersible Granule),Herbicide,Bayer / Envu Environmental Science,432-1507,"Thiencarbazone-methyl 8.7%, Iodosulfuron-methyl-sodium 1.9%, Dicamba 57.4%",L-WEED,B,CELSIUS POST EMERGENT WATER DI
Certainty Turf Herbicide,Herbicide,Nufarm (Valent U.S.A.),59639-226,Sulfosulfuron 75%,L-WEED,B,CERTAINTY TURF POST EMERGENT D
Contrac All-Weather Blox Rodenticide (18 lb. Pail),Rodent,Bell Laboratories,12455-79,Bromadiolone 0.005%,RODENTS,BU,CONTRAC BAIT BLOCK
Cyper TC Insecticide/Termiticide 1 gal.,Termiticide,"Control Solutions, Inc.",53883-92,Cypermethrin 25.4%,,J,CYPER TC TERMITICIDE/INSECTICI
DeltaDust Insecticide,Insecticide/Pesticide,Envu,432-772,Deltamethrin 0.05%,,B,DELTADUST INSECTICIDE
Demand CS Insecticide 1 qt.,Insecticide/Pesticide,Syngenta,100-1066,Lambda-cyhalothrin 9.7%,GHP,B,DEMAND CS INSECTICIDE 1 QT.
